"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"21:25:46.3823739","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS",""
"21:25:46.3823858","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3823933","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS",""
"21:25:46.3824044","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3824116","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS",""
"21:25:46.3824239","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3824313","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS",""
"21:25:46.3827131","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3827362","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS",""
"21:25:46.3827523","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3827604","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS",""
"21:25:46.3827731","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3827806","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS",""
"21:25:46.3827925","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3828017","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS",""
